Gambler_id,Gam_name,Email,Password,Join_date,Balance
G00001,sanchezrichard,moralesmichael@google.com,tgVJtS0pmf,2020-07-14,7914.51
G00002,fmartin,reyeskenneth@google.com,mVTisjc2Ox,2022-11-25,8588.79
G00003,david94,patricia26@google.com,0JjnbKLJaM,2023-07-24,8493.05
G00004,meadowskyle,jessica52@google.com,GECRqwNOqY,2020-10-29,5328.74
G00005,anthonychen,nichole08@google.com,6vWU4sV4y7,2024-04-30,8000.36
G00006,test1,test1@google.com,0000000001,2024-04-30,735.36
G00007,test2,test2@google.com,0000000002,2023-01-30,1231.21
G00008,test3,test3@google.com,0000000003,2020-06-22,1512.41
G00009,test4,test4@google.com,0000000004,2019-03-01,8812.12
G00010,test5,test5@google.com,0000000005,2021-12-09,1223.51
